,Region,Sub-Region,Commodity,Supply
0,Tigray,Central tigray,Teff,1173966.73
1,Tigray,Central tigray,Barley,156303.11
2,Tigray,Central tigray,wheat,154950.83
3,Tigray,Central tigray,Maize,832898.91
4,Tigray,Central tigray,Sorghum,1187697.73
5,Tigray,Central tigray,Finger Millet,337333.09
6,Tigray,Central tigray,Oats,
7,Tigray,Central tigray,Rice,
8,Tigray,Central tigray,Faba Beans,74328.27
9,Tigray,Central tigray,Field Peas,20073.08
10,Tigray,Central tigray,Haricot beans,
11,Tigray,Central tigray,Chick-Peas,
12,Tigray,Central tigray,Lentils,
13,Tigray,Central tigray,Grass Peas,
14,Tigray,Central tigray,Soybeans,
15,Tigray,Central tigray,Fenugreek,
16,Tigray,Central tigray,Gibto,
17,Tigray,Central tigray,Niger Seeds,1102.6
18,Tigray,Central tigray,Groundnut,
19,Tigray,Central tigray,Sunflower,
20,Tigray,Central tigray,Sesame Seeds,
21,Tigray,Central tigray,Lettuce,
22,Tigray,Central tigray,Head cabbage,
23,Tigray,Central tigray,Eth. Cabbage,
24,Tigray,Central tigray,Tomatoes,
25,Tigray,Central tigray,Green peppers,
26,Tigray,Central tigray,Red peppers,2893.94
27,Tigray,Central tigray,Swiss chard,
28,Tigray,Central tigray,Carrots,
29,Tigray,Central tigray,Onions,
30,Tigray,Central tigray,Potatoes,
31,Tigray,Central tigray,Garlic,
32,Tigray,Central tigray,Taro / 'Godere',
33,Tigray,Central tigray,Sweet potatoes,
34,Tigray,Central tigray,Avocados,
35,Tigray,Central tigray,Banana,
36,Tigray,Central tigray,Guava,
37,Tigray,Central tigray,Lemons,
38,Tigray,Central tigray,Mangoes,
39,Tigray,Central tigray,Oranges,
40,Tigray,Central tigray,Papaya,
41,Tigray,Central tigray,Pineapple,
42,Tigray,Central tigray,Hop,15332.81
43,Tigray,Central tigray,Enset,
44,Tigray,Central tigray,Roses,
45,Tigray,Central tigray,Sorghum,1187697.73
46,Tigray,Central tigray,Sesame,
47,Tigray,Central tigray,Beetroot,
48,Tigray,Central tigray,Hops,
49,Tigray,Central tigray,Sugar cane,
50,Tigray,Central tigray,Enset,
51,Tigray,North -Western Tigray,Teff,789377.69
52,Tigray,North -Western Tigray,Barley,
53,Tigray,North -Western Tigray,wheat,
54,Tigray,North -Western Tigray,Maize,1104500.52
55,Tigray,North -Western Tigray,Sorghum,2106508.91
56,Tigray,North -Western Tigray,Finger Millet,1438677.41
57,Tigray,North -Western Tigray,Oats,
58,Tigray,North -Western Tigray,Rice,
59,Tigray,North -Western Tigray,Faba Beans,33687.85
60,Tigray,North -Western Tigray,Field Peas,8590.08
61,Tigray,North -Western Tigray,Haricot beans,
62,Tigray,North -Western Tigray,Chick-Peas,
63,Tigray,North -Western Tigray,Lentils,
64,Tigray,North -Western Tigray,Grass Peas,
65,Tigray,North -Western Tigray,Soybeans,
66,Tigray,North -Western Tigray,Fenugreek,
67,Tigray,North -Western Tigray,Gibto,
68,Tigray,North -Western Tigray,Niger Seeds,30410.02
69,Tigray,North -Western Tigray,Groundnut,
70,Tigray,North -Western Tigray,Sunflower,
71,Tigray,North -Western Tigray,Sesame Seeds,140552.79
72,Tigray,North -Western Tigray,Lettuce,
73,Tigray,North -Western Tigray,Head cabbage,
74,Tigray,North -Western Tigray,Eth. Cabbage,
75,Tigray,North -Western Tigray,Tomatoes,
76,Tigray,North -Western Tigray,Green peppers,
77,Tigray,North -Western Tigray,Red peppers,21548.41
78,Tigray,North -Western Tigray,Swiss chard,
79,Tigray,North -Western Tigray,Carrots,
80,Tigray,North -Western Tigray,Onions,
81,Tigray,North -Western Tigray,Potatoes,
82,Tigray,North -Western Tigray,Garlic,
83,Tigray,North -Western Tigray,Taro / 'Godere',
84,Tigray,North -Western Tigray,Sweet potatoes,
85,Tigray,North -Western Tigray,Avocados,
86,Tigray,North -Western Tigray,Banana,
87,Tigray,North -Western Tigray,Guava,
88,Tigray,North -Western Tigray,Lemons,399.1
89,Tigray,North -Western Tigray,Mangoes,
90,Tigray,North -Western Tigray,Oranges,
91,Tigray,North -Western Tigray,Papaya,
92,Tigray,North -Western Tigray,Pineapple,
93,Tigray,North -Western Tigray,Hop,29923.12
94,Tigray,North -Western Tigray,Enset,
95,Tigray,North -Western Tigray,Roses,
96,Tigray,North -Western Tigray,Sorghum,2106508.91
97,Tigray,North -Western Tigray,Sesame,
98,Tigray,North -Western Tigray,Beetroot,
99,Tigray,North -Western Tigray,Hops,
100,Tigray,North -Western Tigray,Sugar cane,
101,Tigray,North -Western Tigray,Enset,
102,Tigray,Eastern Tigray,Teff,126044.59
103,Tigray,Eastern Tigray,Barley,437508.96
104,Tigray,Eastern Tigray,wheat,730799.49
105,Tigray,Eastern Tigray,Maize,115160.2
106,Tigray,Eastern Tigray,Sorghum,166437.72
107,Tigray,Eastern Tigray,Finger Millet,83217.09
108,Tigray,Eastern Tigray,Oats,
109,Tigray,Eastern Tigray,Rice,
110,Tigray,Eastern Tigray,Faba Beans,26526.29
111,Tigray,Eastern Tigray,Field Peas,28729.35
112,Tigray,Eastern Tigray,Haricot beans,
113,Tigray,Eastern Tigray,Chick-Peas,11816.04
114,Tigray,Eastern Tigray,Lentils,6795.31
115,Tigray,Eastern Tigray,Grass Peas,59115.56
116,Tigray,Eastern Tigray,Soybeans,
117,Tigray,Eastern Tigray,Fenugreek,
118,Tigray,Eastern Tigray,Gibto,
119,Tigray,Eastern Tigray,Niger Seeds,
120,Tigray,Eastern Tigray,Groundnut,
121,Tigray,Eastern Tigray,Sunflower,
122,Tigray,Eastern Tigray,Sesame Seeds,
123,Tigray,Eastern Tigray,Lettuce,
124,Tigray,Eastern Tigray,Head cabbage,
125,Tigray,Eastern Tigray,Eth. Cabbage,
126,Tigray,Eastern Tigray,Tomatoes,
127,Tigray,Eastern Tigray,Green peppers,
128,Tigray,Eastern Tigray,Red peppers,
129,Tigray,Eastern Tigray,Swiss chard,
130,Tigray,Eastern Tigray,Carrots,
131,Tigray,Eastern Tigray,Onions,
132,Tigray,Eastern Tigray,Potatoes,
133,Tigray,Eastern Tigray,Garlic,
134,Tigray,Eastern Tigray,Taro / 'Godere',
135,Tigray,Eastern Tigray,Sweet potatoes,
136,Tigray,Eastern Tigray,Avocados,
137,Tigray,Eastern Tigray,Banana,
138,Tigray,Eastern Tigray,Guava,
139,Tigray,Eastern Tigray,Lemons,
140,Tigray,Eastern Tigray,Mangoes,
141,Tigray,Eastern Tigray,Oranges,
142,Tigray,Eastern Tigray,Papaya,
143,Tigray,Eastern Tigray,Pineapple,
144,Tigray,Eastern Tigray,Hop,9773.74
145,Tigray,Eastern Tigray,Enset,
146,Tigray,Eastern Tigray,Roses,
147,Tigray,Eastern Tigray,Sorghum,166437.72
148,Tigray,Eastern Tigray,Sesame,
149,Tigray,Eastern Tigray,Beetroot,
150,Tigray,Eastern Tigray,Hops,
151,Tigray,Eastern Tigray,Sugar cane,
152,Tigray,Eastern Tigray,Enset,
153,Tigray,Southern Tigray,Teff,519499.86
154,Tigray,Southern Tigray,Barley,408339.62
155,Tigray,Southern Tigray,wheat,570116.53
156,Tigray,Southern Tigray,Maize,82394.24
157,Tigray,Southern Tigray,Sorghum,715498.69
158,Tigray,Southern Tigray,Finger Millet,
159,Tigray,Southern Tigray,Oats,
160,Tigray,Southern Tigray,Rice,
161,Tigray,Southern Tigray,Faba Beans,52733.38
162,Tigray,Southern Tigray,Field Peas,41658.49
163,Tigray,Southern Tigray,Haricot beans,
164,Tigray,Southern Tigray,Chick-Peas,62958.74
165,Tigray,Southern Tigray,Lentils,
166,Tigray,Southern Tigray,Grass Peas,
167,Tigray,Southern Tigray,Soybeans,
168,Tigray,Southern Tigray,Fenugreek,
169,Tigray,Southern Tigray,Gibto,
170,Tigray,Southern Tigray,Niger Seeds,
171,Tigray,Southern Tigray,Groundnut,
172,Tigray,Southern Tigray,Sunflower,
173,Tigray,Southern Tigray,Sesame Seeds,
174,Tigray,Southern Tigray,Lettuce,
175,Tigray,Southern Tigray,Head cabbage,
176,Tigray,Southern Tigray,Eth. Cabbage,
177,Tigray,Southern Tigray,Tomatoes,
178,Tigray,Southern Tigray,Green peppers,587.64
179,Tigray,Southern Tigray,Red peppers,
180,Tigray,Southern Tigray,Swiss chard,
181,Tigray,Southern Tigray,Carrots,
182,Tigray,Southern Tigray,Onions,
183,Tigray,Southern Tigray,Potatoes,
184,Tigray,Southern Tigray,Garlic,
185,Tigray,Southern Tigray,Taro / 'Godere',
186,Tigray,Southern Tigray,Sweet potatoes,
187,Tigray,Southern Tigray,Avocados,
188,Tigray,Southern Tigray,Banana,
189,Tigray,Southern Tigray,Guava,
190,Tigray,Southern Tigray,Lemons,
191,Tigray,Southern Tigray,Mangoes,
192,Tigray,Southern Tigray,Oranges,
193,Tigray,Southern Tigray,Papaya,
194,Tigray,Southern Tigray,Pineapple,
195,Tigray,Southern Tigray,Hop,10160.52
196,Tigray,Southern Tigray,Enset,
197,Tigray,Southern Tigray,Roses,
198,Tigray,Southern Tigray,Sorghum,715498.69
199,Tigray,Southern Tigray,Sesame,
200,Tigray,Southern Tigray,Beetroot,
201,Tigray,Southern Tigray,Hops,
202,Tigray,Southern Tigray,Sugar cane,
203,Tigray,Southern Tigray,Enset,
204,Tigray,Western Tigray,Teff,131932.53
205,Tigray,Western Tigray,Barley,
206,Tigray,Western Tigray,wheat,
207,Tigray,Western Tigray,Maize,258860.52
208,Tigray,Western Tigray,Sorghum,2450302.39
209,Tigray,Western Tigray,Finger Millet,277451.15
210,Tigray,Western Tigray,Oats,
211,Tigray,Western Tigray,Rice,
212,Tigray,Western Tigray,Faba Beans,5787.44
213,Tigray,Western Tigray,Field Peas,
214,Tigray,Western Tigray,Haricot beans,
215,Tigray,Western Tigray,Chick-Peas,
216,Tigray,Western Tigray,Lentils,
217,Tigray,Western Tigray,Grass Peas,
218,Tigray,Western Tigray,Soybeans,
219,Tigray,Western Tigray,Fenugreek,
220,Tigray,Western Tigray,Gibto,
221,Tigray,Western Tigray,Niger Seeds,51176.58
222,Tigray,Western Tigray,Groundnut,
223,Tigray,Western Tigray,Sunflower,
224,Tigray,Western Tigray,Sesame Seeds,652503.61
225,Tigray,Western Tigray,Lettuce,
226,Tigray,Western Tigray,Head cabbage,
227,Tigray,Western Tigray,Eth. Cabbage,
228,Tigray,Western Tigray,Tomatoes,
229,Tigray,Western Tigray,Green peppers,
230,Tigray,Western Tigray,Red peppers,7616.67
231,Tigray,Western Tigray,Swiss chard,
232,Tigray,Western Tigray,Carrots,
233,Tigray,Western Tigray,Onions,
234,Tigray,Western Tigray,Potatoes,
235,Tigray,Western Tigray,Garlic,
236,Tigray,Western Tigray,Taro / 'Godere',
237,Tigray,Western Tigray,Sweet potatoes,
238,Tigray,Western Tigray,Avocados,
239,Tigray,Western Tigray,Banana,
240,Tigray,Western Tigray,Guava,
241,Tigray,Western Tigray,Lemons,2555.81
242,Tigray,Western Tigray,Mangoes,
243,Tigray,Western Tigray,Oranges,
